symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio
7203.T,2022-03-31,3M,48188721181540.0,51.090238,5.940083,9.8717,30622275181540.0,1.22786,10.039571,2.4795,1.004208
7203.T,2022-06-30,3M,46692425149400.0,30.231888,5.498974,9.9502,28816971149400.0,1.097958,10.232422,2.9804,0.929399
7203.T,2022-09-30,3M,45362655544464.0,32.960507,4.920971,8.7951,25677725544464.0,0.935049,9.637811,3.0315,0.812181
7203.T,2022-12-31,3M,45593922122250.0,28.64665,4.674054,7.874,24808570122250.0,0.880218,9.993384,3.3944,0.742488
7203.T,2023-03-31,3M,45910205890520.0,34.743505,4.737766,8.8889,25502537890520.0,0.926158,10.58797,5.7331,0.724706
7203.T,2023-06-22,TTM,50514564680664.0,,,10.3842,30366932680664.0,1.071571,12.483981,6.6987,0.823636
7203.T,2023-06-23,TTM,,8.659021,1.359589,,,,,,
