symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommercialPaper,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAccruedExpenses,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,EmployeeBenefits,FinishedGoods,GainsLossesNotAffectingRetainedEarnings,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,IncomeTaxPayable,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccountsReceivable,NonCurrentDeferredAssets,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentBorrowings,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PayablesAndAccruedExpenses,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Properties,RawMaterials,Receivables,ReceivablesAdjustmentsAllowances,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
7203.T,2020-03-31,12M,JPY,2434180000000.0,8709065000000.0,-13855563000000.0,489334000000.0,-23944000000.0,,4730783000000.0,,397050000000.0,4190518000000.0,5697469000000.0,,,4106796000000.0,397050000000.0,20060618000000.0,510963000000.0,2926052000000.0,18642531000000.0,,9860071000000.0,9860071000000.0,17902377000000.0,978626000000.0,1517173000000.0,-1166273000000.0,,8733009000000.0,24457088000000.0,218117000000.0,2434918000000.0,40613587000000.0,7348651000000.0,11472104000000.0,4123453000000.0,,1346988000000.0,,10692898000000.0,10692898000000.0,4123453000000.0,17868354000000.0,677064000000.0,16362451000000.0,10601525000000.0,20060618000000.0,10445342000000.0,,1043169000000.0,,1043169000000.0,978626000000.0,13830762660.0,,5753275000000.0,1443687000000.0,,,1518934000000.0,821515000000.0,1020270000000.0,,564854000000.0,1506951000000.0,3672567000000.0,6598619000000.0,504169000000.0,1236225000000.0,0.0,602606000000.0,9273919000000.0,,23427613000000.0,16314987460.0,20060618000000.0,20060618000000.0,,52680436000000.0,30753516000000.0,20552969000000.0,20737682000000.0,31942754000000.0,34037905000000.0,14040377000000.0,218117000000.0,2484224800.0,3087106000000.0,315139000000.0,740154000000.0
7203.T,2021-03-31,12M,JPY,4045939000000.0,9714931000000.0,-14566638000000.0,497275000000.0,,,4999206000000.0,360891000000.0,397050000000.0,5100857000000.0,9316314000000.0,1754456000000.0,3346401000000.0,,397050000000.0,23404547000000.0,675875000000.0,1397140000000.0,22776800000000.0,47120000000.0,12212060000000.0,12212060000000.0,21460466000000.0,1035096000000.0,1749415000000.0,,1108634000000.0,,26367934000000.0,350880000000.0,2888028000000.0,49064182000000.0,9083914000000.0,13244717000000.0,,,1345037000000.0,313771000000.0,13447575000000.0,13447575000000.0,4160803000000.0,18957672000000.0,883782000000.0,20558778000000.0,11801296000000.0,22295913000000.0,12449525000000.0,336224000000.0,1247220000000.0,336224000000.0,1247220000000.0,1035096000000.0,13979743300.0,745069000000.0,12212060000000.0,3454447000000.0,1307726000000.0,1108634000000.0,549942000000.0,788454000000.0,1092223000000.0,390144000000.0,688352000000.0,4215457000000.0,4396819000000.0,5793959000000.0,,,0.0,493834000000.0,9827389000000.0,-31586000000.0,24104176000000.0,16314987460.0,23404547000000.0,22295913000000.0,112458000000.0,62267140000000.0,36852122000000.0,25659635000000.0,24288329000000.0,37978811000000.0,39490338000000.0,16518345000000.0,350880000000.0,2335244160.0,2901680000000.0,644779000000.0,1316334000000.0
7203.T,2022-03-31,12M,JPY,4292092000000.0,10324159000000.0,-15648890000000.0,498575000000.0,,9517267000000.0,5284620000000.0,420928000000.0,397050000000.0,6113655000000.0,8620903000000.0,1482773000000.0,4630882000000.0,3252556000000.0,397050000000.0,26245969000000.0,565528000000.0,1520446000000.0,23722290000000.0,56136000000.0,11187839000000.0,11187839000000.0,21842161000000.0,1022749000000.0,2012243000000.0,,1191966000000.0,,28423942000000.0,826815000000.0,3821356000000.0,52742327000000.0,9517267000000.0,14355162000000.0,3926267000000.0,911628000000.0,1361791000000.0,364792000000.0,15308519000000.0,15308519000000.0,4837895000000.0,20763591000000.0,908851000000.0,20382703000000.0,12775052000000.0,25054003000000.0,14583130000000.0,342202000000.0,1354794000000.0,342202000000.0,1354794000000.0,1022749000000.0,13778301544.0,791947000000.0,11187839000000.0,4014969000000.0,2203255000000.0,1191966000000.0,718968000000.0,1005728000000.0,1124008000000.0,448412000000.0,716558000000.0,2507248000000.0,5118907000000.0,6639353000000.0,,,0.0,1261303000000.0,10488084000000.0,-40124000000.0,26453126000000.0,16314987460.0,26245969000000.0,25054003000000.0,163925000000.0,67688771000000.0,41554488000000.0,26496358000000.0,27154820000000.0,40533951000000.0,43966480000000.0,18691790000000.0,826815000000.0,2536685916.0,3306037000000.0,547810000000.0,1880129000000.0
7203.T,2023-03-31,12M,JPY,4986309000000.0,11865936000000.0,-16675119000000.0,498728000000.0,,10556431000000.0,5464811000000.0,,397050000000.0,7516966000000.0,9232641000000.0,,,,397050000000.0,28338706000000.0,846866000000.0,1552345000000.0,26459781000000.0,,12305639000000.0,12305639000000.0,23959715000000.0,1065508000000.0,,,1249122000000.0,,29800461000000.0,404606000000.0,4255614000000.0,57718979000000.0,10556431000000.0,15783776000000.0,,,1426370000000.0,,17074634000000.0,17074634000000.0,5227345000000.0,21571046000000.0,925507000000.0,21863307000000.0,13125342000000.0,27089584000000.0,16491045000000.0,387427000000.0,1802346000000.0,387427000000.0,1802346000000.0,1065508000000.0,13565179729.0,886886000000.0,12305639000000.0,4710816000000.0,2836194000000.0,,806687000000.0,1136764000000.0,,491368000000.0,,1715675000000.0,5390915000000.0,6943260000000.0,,,0.0,,12084640000000.0,,28343296000000.0,16314987460.0,28338706000000.0,27089584000000.0,218704000000.0,74303180000000.0,45413340000000.0,29380273000000.0,29264213000000.0,45038967000000.0,47843399000000.0,21079252000000.0,404606000000.0,2749807731.0,3736562000000.0,,2500066000000.0
