symbol,asOfDate,periodType,currencyCode,AverageDilutionEarnings,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EarningsFromEquityInterest,EarningsFromEquityInterestNetOfTax,GainOnSaleOfSecurity,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingGeneralAndAdministration,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
7203.T,2020-03-31,12M,JPY,17284000000.0,13994590000.0,147.122,24522364000000.0,14230090000.0,145.9,2076183000000.0,2586824000000.0,,,271152000000.0,-103620000000.0,5407628000000.0,32217000000.0,32217000000.0,232870000000.0,232870000000.0,-66146000000.0,2076183000000.0,2058899000000.0,2142329000000.0,2076183000000.0,2076183000000.0,2142329000000.0,200653000000.0,200653000000.0,4295827000000.0,2152081704082.4675,2964759000000.0,2442869000000.0,29929992000000.0,-88915000000.0,14705000000.0,17284000000.0,2554607000000.0,24522364000000.0,1605383000000.0,2964759000000.0,-27721295917.53252,683430000000.0,0.267528,27487123000000.0,2442869000000.0,,29929992000000.0,-103620000000.0,-103620000000.0
7203.T,2021-03-31,12M,JPY,12569000000.0,13976442000.0,160.65,22382220000000.0,14206137000.0,158.93,2257830000000.0,2979891000000.0,,351029000000.0,,15142000000.0,4832373000000.0,47537000000.0,47537000000.0,435229000000.0,435229000000.0,-37118000000.0,2245261000000.0,2245261000000.0,2282378000000.0,2245261000000.0,2245261000000.0,2282378000000.0,387692000000.0,387692000000.0,4609039000000.0,2233475326211.6377,2634625000000.0,2197748000000.0,27214593000000.0,346914000000.0,-19257000000.0,-12569000000.0,2932354000000.0,22382220000000.0,1644290000000.0,2634625000000.0,3356326211.637476,649976000000.0,0.221657,25016845000000.0,2197748000000.0,-387692000000.0,27214593000000.0,15142000000.0,15142000000.0
7203.T,2022-03-31,12M,JPY,23000000.0,13887348000.0,205.23,25407834000000.0,13887659000.0,205.23,2850132000000.0,4034529000000.0,,560346000000.0,,216187000000.0,5971673000000.0,43997000000.0,43997000000.0,334760000000.0,334760000000.0,-24504000000.0,2850110000000.0,2850110000000.0,2874614000000.0,2850110000000.0,2850110000000.0,2874614000000.0,290763000000.0,290763000000.0,5640222000000.0,2694377837767.4956,2975977000000.0,2995696000000.0,31379507000000.0,704072000000.0,-72461000000.0,,3990532000000.0,25407834000000.0,1821880000000.0,2975977000000.0,60454837767.49566,1115918000000.0,0.279641,28383811000000.0,2995697000000.0,-290763000000.0,31379507000000.0,216187000000.0,216187000000.0
7203.T,2022-12-31,TTM,JPY,0.0,,,29471247000000.0,,,2432914000000.0,3737472000000.0,5751578000000.0,619538000000.0,,348199000000.0,6105252000000.0,115219000000.0,115219000000.0,156615000000.0,156615000000.0,-21923000000.0,2432914000000.0,2432914000000.0,2454838000000.0,2432914000000.0,2432914000000.0,2454838000000.0,168273000000.0,168273000000.0,5403379000000.0,2196936159588.5212,3543296000000.0,2561956000000.0,35576499000000.0,892024000000.0,-75713000000.0,,3622253000000.0,29471247000000.0,2014106000000.0,3543296000000.0,112221159588.52129,1167417000000.0,0.32229,33014543000000.0,2561957000000.0,-99219000000.0,35576499000000.0,348199000000.0,348199000000.0
7203.T,2023-03-31,12M,JPY,,13658382000.0,179.47,30841282000000.0,13658382000.0,179.47,2451318000000.0,3793846000000.0,,643063000000.0,,124516000000.0,6313016000000.0,125113000000.0,125113000000.0,379350000000.0,379350000000.0,-41650000000.0,2451318000000.0,2451318000000.0,2492967000000.0,2451318000000.0,2451318000000.0,2492967000000.0,254237000000.0,254237000000.0,5709234000000.0,2366707208348.495,3587990000000.0,2725026000000.0,37154298000000.0,689470000000.0,-78109000000.0,,3668733000000.0,30841282000000.0,2039904000000.0,3587990000000.0,39905208348.49524,1175765000000.0,0.320483,34429272000000.0,2725025000000.0,,37154298000000.0,124516000000.0,124516000000.0
7203.T,2023-03-31,TTM,JPY,,,,30841282000000.0,,,2451318000000.0,3793846000000.0,5833750000000.0,643063000000.0,,124516000000.0,6313016000000.0,125113000000.0,125113000000.0,379350000000.0,379350000000.0,-41650000000.0,2451318000000.0,2451318000000.0,2492967000000.0,2451318000000.0,2451318000000.0,2492967000000.0,254237000000.0,254237000000.0,5709234000000.0,2366707208348.495,3587990000000.0,2725026000000.0,37154298000000.0,689470000000.0,-78109000000.0,,3668733000000.0,30841282000000.0,2039904000000.0,3587990000000.0,39905208348.49524,1175765000000.0,0.320483,34429272000000.0,2725025000000.0,,37154298000000.0,124516000000.0,124516000000.0
